field_1,id,latitude,longitude,elevation,name,COUNTYFP,COUNTYNS,GEOID,NAME_1
22,US1NYBM0002,42.23330,-75.78330,231.60000,FENTON 2.4 NE,007,00974102,36007,Broome
23,US1NYBM0004,42.02960,-76.02130,317.00000,ENDICOTT 5.2 SSE,007,00974102,36007,Broome
24,US1NYBM0005,42.13330,-75.78330,243.80000,PORT DICKINSON 5.6 E,007,00974102,36007,Broome
25,US1NYBM0006,42.06670,-75.95000,354.80000,BINGHAMTON 3.2 SW,007,00974102,36007,Broome
26,US1NYBM0007,42.04930,-76.02880,303.00000,VESTAL 2.8 SSE,007,00974102,36007,Broome
27,US1NYBM0010,42.35000,-75.90000,348.10000,WHITNEY POINT 3.7 ENE,007,00974102,36007,Broome
28,US1NYBM0011,42.07350,-75.92960,412.10000,BINGHAMTON 1.8 SW,007,00974102,36007,Broome
29,US1NYBM0014,42.30840,-75.95690,385.90000,WHITNEY POINT 1.7 SSE,007,00974102,36007,Broome
30,US1NYBM0019,42.34420,-75.86350,425.80000,TRIANGLE 0.9 ENE,007,00974102,36007,Broome
31,US1NYBM0021,42.00990,-75.51420,507.80000,WINDSOR 8.0 SE,007,00974102,36007,Broome
32,US1NYBM0023,42.19720,-75.83470,268.50000,CHENANGO BRIDGE 2.5 NE,007,00974102,36007,Broome
33,US1NYBM0024,42.10980,-75.88580,259.40000,BINGHAMTON 1.3 ENE,007,00974102,36007,Broome
34,US1NYBM0026,42.11270,-76.01300,293.50000,ENDWELL 0.6 ESE,007,00974102,36007,Broome
35,US1NYBM0032,42.14150,-75.88900,272.20000,BINGHAMTON 2.9 NNE,007,00974102,36007,Broome
36,US1NYBM0034,42.08260,-75.99120,423.70000,VESTAL 3.2 E,007,00974102,36007,Broome
37,US1NYBM0037,42.14050,-75.91160,272.20000,BINGHAMTON 2.7 N,007,00974102,36007,Broome
38,US1NYBM0040,42.07960,-76.05100,264.60000,VESTAL 0.4 SSE,007,00974102,36007,Broome
39,US1NYCB0001,42.13350,-73.76790,90.80000,HUDSON 8.2 S,021,00974109,36021,Columbia
40,US1NYCB0006,42.47270,-73.64390,100.90000,NORTH CHATHAM 0.6 W,021,00974109,36021,Columbia
41,US1NYCB0008,42.13310,-73.78540,73.80000,LIVINGSTON 0.7 SSW,021,00974109,36021,Columbia
42,US1NYCB0009,42.26170,-73.54160,377.00000,HILLSDALE 5.8 S,021,00974109,36021,Columbia
43,US1NYCL0002,44.62310,-73.56020,143.30000,SCHUYLER FALLS 0.2 NNW,019,00974108,36019,Clinton
44,US1NYCL0005,44.98480,-73.36390,30.50000,ROUSES POINT 0.5 SSE,019,00974108,36019,Clinton
45,US1NYCL0007,44.56460,-73.45390,55.20000,PERU 4.1 ESE,019,00974108,36019,Clinton
46,US1NYCL0008,44.70910,-73.58760,180.10000,MORRISONVILLE 1.5 NW,019,00974108,36019,Clinton
47,US1NYCL0012,44.63980,-73.73850,253.00000,SARANAC 0.8 SSE,019,00974108,36019,Clinton
48,US1NYCM0002,42.08330,-76.80000,579.10000,ELMIRA 0.9 SE,015,00974106,36015,Chemung
49,US1NYCM0003,42.08390,-76.78810,256.00000,ELMIRA 1.3 ESE,015,00974106,36015,Chemung
50,US1NYCM0004,42.01670,-76.85000,454.20000,SOUTHPORT 3.8 SSW,015,00974106,36015,Chemung
51,US1NYCM0005,42.15000,-76.95000,304.80000,BIG FLATS 1.1 WNW,015,00974106,36015,Chemung
52,US1NYCM0006,42.08900,-76.74890,341.40000,ELMIRA 3.2 E,015,00974106,36015,Chemung
53,US1NYCM0007,42.08300,-76.84620,271.30000,WEST ELMIRA 0.5 SSE,015,00974106,36015,Chemung
54,US1NYCM0008,42.15000,-76.81670,271.90000,HORSEHEADS 1.5 SSE,015,00974106,36015,Chemung
55,US1NYCM0010,42.20000,-76.55000,182.90000,VAN ETTEN 0.3 ENE,015,00974106,36015,Chemung
56,US1NYCM0012,42.14370,-76.95120,281.90000,HORSEHEADS,015,00974106,36015,Chemung
57,US1NYCM0013,42.09750,-76.82310,269.40000,ELMIRA 0.7 WNW,015,00974106,36015,Chemung
58,US1NYCM0014,42.17070,-76.84350,287.10000,HORSEHEADS 0.7 W,015,00974106,36015,Chemung
59,US1NYCM0017,42.00220,-76.83080,484.00000,PINE CITY 3.1 SE,015,00974106,36015,Chemung
60,US1NYCM0019,42.17340,-76.86040,301.40000,HORSEHEADS 1.6 W,015,00974106,36015,Chemung
61,US1NYCM0020,42.13250,-76.81590,265.50000,HORSEHEADS 2.7 SSE,015,00974106,36015,Chemung
62,US1NYCM0021,42.10210,-76.83040,284.10000,ELMIRA 1.2 WNW,015,00974106,36015,Chemung
63,US1NYCM0023,42.18240,-76.83490,287.70000,HORSEHEADS 0.9 NNW,015,00974106,36015,Chemung
64,US1NYCM0024,42.09130,-76.62810,325.80000,CHEMUNG 5.7 N,015,00974106,36015,Chemung
65,US1NYCN0002,42.58330,-75.43330,548.60000,NORWICH 5.7 NE,017,00974107,36017,Chenango
66,US1NYCN0003,42.33330,-75.76670,276.10000,GREENE 0.3 NE,017,00974107,36017,Chenango
67,US1NYCN0006,42.32250,-75.75070,342.00000,GREENE 1.2 ESE,017,00974107,36017,Chenango
68,US1NYCN0008,42.72600,-75.46200,384.00000,SHERBURNE 3.6 NNE,017,00974107,36017,Chenango
69,US1NYCN0009,42.53360,-75.63060,456.60000,NORWICH 5.4 W,017,00974107,36017,Chenango
70,US1NYCN0011,42.69900,-75.61210,383.10000,SMYRNA 2.4 WNW,017,00974107,36017,Chenango
71,US1NYCN0013,42.41200,-75.50370,480.40000,GUILFORD 0.9 NW,017,00974107,36017,Chenango
72,US1NYCN0014,42.45160,-75.60170,379.20000,OXFORD 0.8 NNW,017,00974107,36017,Chenango
73,US1NYCN0016,42.28720,-75.53630,348.70000,BAINBRIDGE 2.9 WSW,017,00974107,36017,Chenango
74,US1NYCN0018,42.21240,-75.42380,550.20000,BAINBRIDGE 6.5 SSE,017,00974107,36017,Chenango
75,US1NYCQ0005,42.15940,-79.09670,391.40000,KENNEDY 0.3 NE,013,00974105,36013,Chautauqua
76,US1NYCQ0006,42.44740,-79.20450,356.30000,FORESTVILLE 2.1 SW,013,00974105,36013,Chautauqua
77,US1NYCQ0007,42.00150,-79.13000,429.20000,FREWSBURG 4.3 SSE,013,00974105,36013,Chautauqua
78,US1NYCQ0010,42.48250,-79.34280,188.10000,DUNKIRK 5.8 S,013,00974105,36013,Chautauqua
79,US1NYCQ0012,42.09570,-79.20130,463.90000,JAMESTOWN 1.8 E,013,00974105,36013,Chautauqua
80,US1NYCQ0015,42.16210,-79.58850,477.00000,SHERMAN 0.4 ENE,013,00974105,36013,Chautauqua
81,US1NYCQ0017,42.44600,-79.13710,430.40000,FORESTVILLE 2.5 SE,013,00974105,36013,Chautauqua
82,US1NYCQ0019,42.21270,-79.75550,392.60000,RIPLEY 4.3 SSW,013,00974105,36013,Chautauqua
83,US1NYCQ0021,42.01600,-79.12490,441.00000,FREWSBURG 3.4 SSE,013,00974105,36013,Chautauqua
84,US1NYCQ0022,42.44410,-79.34610,207.30000,FREDONIA 0.8 WNW,013,00974105,36013,Chautauqua
85,US1NYCQ0034,42.12570,-79.07230,478.50000,KENNEDY 2.6 SE,013,00974105,36013,Chautauqua
86,US1NYCR0001,42.53300,-76.02110,476.70000,FREETOWN 1.0 NE,023,00974110,36023,Cortland
87,US1NYCR0003,42.47390,-75.87250,427.30000,WILLET 1.8 E,023,00974110,36023,Cortland
88,US1NYCR0005,42.45160,-76.04370,313.90000,MARATHON 1.0 NW,023,00974110,36023,Cortland
89,US1NYCR0008,42.44070,-76.04900,376.70000,MARATHON 0.7 WSW,023,00974110,36023,Cortland
90,US1NYCR0010,42.60380,-76.16370,336.80000,CORTLAND 0.8 ENE,023,00974110,36023,Cortland
91,US1NYCR0013,42.56580,-76.20530,417.90000,CORTLAND 2.8 SSW,023,00974110,36023,Cortland
92,US1NYCT0002,42.17060,-78.96120,406.90000,RANDOLPH 1.1 ENE,009,00974103,36009,Cattaraugus
93,US1NYCT0003,42.28470,-78.31150,486.50000,CUBA 4.9 NNW,009,00974103,36009,Cattaraugus
94,US1NYCT0005,42.00130,-78.35950,441.00000,PORTVILLE 2.6 SSW,009,00974103,36009,Cattaraugus
95,US1NYCT0006,42.09200,-78.41300,469.70000,OLEAN 1.2 NE,009,00974103,36009,Cattaraugus
96,US1NYCT0007,42.22400,-78.42990,586.10000,HINSDALE 4.4 NW,009,00974103,36009,Cattaraugus
97,US1NYCT0010,42.16590,-78.93240,431.60000,RANDOLPH 2.4 E,009,00974103,36009,Cattaraugus
98,US1NYCT0011,42.15870,-78.49050,508.10000,ALLEGANY 4.7 N,009,00974103,36009,Cattaraugus
99,US1NYCT0012,42.33120,-78.46150,481.60000,FRANKLINVILLE 0.4 SW,009,00974103,36009,Cattaraugus
100,US1NYCT0014,42.46000,-79.00000,378.90000,PERRYSBURG 0.1 ENE,009,00974103,36009,Cattaraugus
101,US1NYCT0015,42.40120,-78.60920,469.40000,WEST VALLEY 0.1 SE,009,00974103,36009,Cattaraugus
102,US1NYCT0021,42.26470,-78.80100,518.20000,LITTLE VALLEY 1.1 N,009,00974103,36009,Cattaraugus
103,US1NYCT0022,42.34170,-78.45280,488.60000,FRANKLINVILLE 0.5 NNE,009,00974103,36009,Cattaraugus
104,US1NYCT0025,42.24300,-78.39640,466.00000,ISCHUA 0.4 SSE,009,00974103,36009,Cattaraugus
105,US1NYCY0001,42.73900,-76.65700,259.10000,AURORA 2.8 ESE,011,00974104,36011,Cayuga
106,US1NYCY0002,42.89660,-76.67270,158.50000,CAYUGA 3.2 ESE,011,00974104,36011,Cayuga
107,US1NYCY0003,42.93330,-76.65000,155.40000,CAYUGA 4.1 ENE,011,00974104,36011,Cayuga
108,US1NYCY0004,42.65690,-76.43360,246.90000,LOCKE 0.3 SW,011,00974104,36011,Cayuga
109,US1NYCY0005,43.14200,-76.68890,122.20000,DUCK LAKE,011,00974104,36011,Cayuga
110,US1NYCY0008,42.82870,-76.48670,320.00000,AUBURN 8.3 SSE,011,00974104,36011,Cayuga
111,US1NYCY0009,42.70310,-76.42020,230.10000,MORAVIA 0.6 S,011,00974104,36011,Cayuga
112,US1NYCY0010,43.22370,-76.61070,121.60000,MARTVILLE 4.0 SSE,011,00974104,36011,Cayuga
113,US1NYCY0013,42.70510,-76.37510,466.00000,MORAVIA 2.5 ESE,011,00974104,36011,Cayuga
114,US1NYCY0014,42.97520,-76.70720,143.90000,CAYUGA 4.0 NNE,011,00974104,36011,Cayuga
115,US1NYCY0021,43.03810,-76.63030,121.30000,PORT BYRON 0.2 WNW,011,00974104,36011,Cayuga
116,US1NYCY0024,42.62950,-76.41200,397.20000,LOCKE 2.4 SSE,011,00974104,36011,Cayuga
117,US1NYCY0026,42.78640,-76.70340,152.70000,AURORA 2.4 N,011,00974104,36011,Cayuga
118,US1NYCY0027,42.73490,-76.31140,532.20000,MORAVIA 5.9 ENE,011,00974104,36011,Cayuga
119,US1NYDL0001,42.25190,-74.98740,518.20000,DELHI 4.2 WSW,025,00974111,36025,Delaware
120,US1NYDL0003,42.41890,-74.62100,609.60000,STAMFORD 0.7 NNW,025,00974111,36025,Delaware
121,US1NYDL0004,42.36670,-74.95000,562.10000,DELHI 6.3 NNW,025,00974111,36025,Delaware
122,US1NYDL0005,42.30030,-74.90260,462.10000,DELHI 1.5 NNE,025,00974111,36025,Delaware
123,US1NYDL0006,42.26080,-74.81950,534.00000,DELHI 5.0 ESE,025,00974111,36025,Delaware
124,US1NYDL0008,42.14960,-74.61890,427.00000,MARGARETVILLE 1.7 ENE,025,00974111,36025,Delaware
125,US1NYDL0009,42.17920,-74.91670,502.90000,ANDES 6.8 W,025,00974111,36025,Delaware
126,US1NYDL0011,42.45280,-75.10330,346.90000,WEST END 1.2 SSW,077,00974137,36077,Otsego
127,US1NYDL0016,41.95110,-75.30240,277.40000,HANCOCK 1.0 W,025,00974111,36025,Delaware
128,US1NYDL0017,41.98930,-75.13180,305.40000,EAST BRANCH 0.2 S,025,00974111,36025,Delaware
129,US1NYDL0022,42.34420,-74.73170,457.20000,SOUTH KORTRIGHT 0.8 W,025,00974111,36025,Delaware
130,US1NYDL0023,41.93510,-75.07840,532.20000,LONG EDDY 6.5 NNE,025,00974111,36025,Delaware
131,US1NYDL0024,42.16530,-75.25850,380.70000,WALTON 6.5 W,025,00974111,36025,Delaware
132,US1NYDL0025,42.35230,-74.57830,676.70000,HOBART 4.8 ESE,025,00974111,36025,Delaware
133,US1NYDL0028,42.23780,-74.52340,760.80000,FLEISCHMANNS 5.7 N,025,00974111,36025,Delaware
134,US1NYDL0031,42.19640,-74.95970,465.70000,DELANCEY 0.9 SE,025,00974111,36025,Delaware
135,US1NYDL0032,42.32120,-75.02990,616.30000,DELHI 6.6 WNW,025,00974111,36025,Delaware
136,US1NYDT0001,41.61600,-73.80330,90.50000,HILLSIDE LAKE 0.3 WNW,027,00974112,36027,Dutchess
137,US1NYDT0002,41.66340,-73.84190,112.50000,POUGHKEEPSIE 4.7 ESE,027,00974112,36027,Dutchess
138,US1NYDT0004,41.55350,-73.78630,85.00000,HOPEWELL JUNCTION 2.4 SSE,027,00974112,36027,Dutchess
139,US1NYDT0005,41.58800,-73.89220,70.40000,WAPPINGERS FALLS 1.6 ESE,027,00974112,36027,Dutchess
140,US1NYDT0007,41.78870,-73.93560,55.50000,HYDE PARK 1.5 W,027,00974112,36027,Dutchess
141,US1NYDT0008,41.75230,-73.64880,312.10000,MILLBROOK 3.2 SE,027,00974112,36027,Dutchess
142,US1NYDT0009,41.92310,-73.90210,64.60000,RHINEBECK 0.5 SE,027,00974112,36027,Dutchess
143,US1NYDT0010,41.64700,-73.89700,72.50000,POUGHKEEPSIE 3.9 SSE,027,00974112,36027,Dutchess
144,US1NYDT0012,41.68460,-73.72050,197.50000,LAGRANGEVILLE 3.4 NE,027,00974112,36027,Dutchess
145,US1NYDT0016,41.54840,-73.88030,106.40000,FISHKILL 1.2 NE,027,00974112,36027,Dutchess
146,US1NYDT0017,42.01550,-73.73920,119.80000,PINE PLAINS 4.9 WNW,027,00974112,36027,Dutchess
147,US1NYDT0020,41.60740,-73.75320,122.80000,HOPEWELL JUNCTION 2.9 ENE,027,00974112,36027,Dutchess
148,US1NYDT0023,41.49700,-73.95590,70.70000,BEACON 0.7 SE,027,00974112,36027,Dutchess
149,US1NYDT0024,42.00970,-73.86420,65.80000,RED HOOK 1.2 NNE,027,00974112,36027,Dutchess
150,US1NYDT0028,41.87550,-73.83730,170.70000,RHINEBECK 5.2 SE,027,00974112,36027,Dutchess
151,US1NYDT0029,41.61950,-73.91310,51.50000,POUGHKEEPSIE 5.3 S,027,00974112,36027,Dutchess
152,US1NYER0001,42.98660,-78.86620,182.90000,TONAWANDA 0.5 ENE,029,00974113,36029,Erie
153,US1NYER0002,42.86850,-78.86350,178.00000,BUFFALO 1.5 S,029,00974113,36029,Erie
154,US1NYER0003,42.86270,-78.58400,246.90000,ELMA 3.5 NE,029,00974113,36029,Erie
155,US1NYER0004,43.02160,-78.74320,184.10000,WILLIAMSVILLE 4.1 N,029,00974113,36029,Erie
156,US1NYER0006,42.96250,-78.81760,187.10000,KENMORE 2.7 E,029,00974113,36029,Erie
157,US1NYER0007,42.96930,-78.68790,214.00000,WILLIAMSVILLE 2.7 E,029,00974113,36029,Erie
158,US1NYER0008,42.95660,-78.47830,253.60000,AKRON 4.4 SSE,029,00974113,36029,Erie
159,US1NYER0009,42.81670,-78.71360,233.80000,WEST SENECA 2.4 SE,029,00974113,36029,Erie
160,US1NYER0010,42.66270,-78.68310,313.60000,COLDEN 1.3 NNE,029,00974113,36029,Erie
161,US1NYER0012,42.83460,-78.72420,216.10000,WEST SENECA 1.4 E,029,00974113,36029,Erie
162,US1NYER0013,42.85930,-78.78540,182.60000,WEST SENECA 2.3 NW,029,00974113,36029,Erie
163,US1NYER0015,42.87400,-78.64410,215.50000,LANCASTER 2.3 SE,029,00974113,36029,Erie
164,US1NYER0024,42.90170,-78.87910,198.10000,BUFFALO 1.3 NW,029,00974113,36029,Erie
165,US1NYER0025,42.97500,-78.82600,182.60000,TONAWANDA 2.6 ESE,029,00974113,36029,Erie
166,US1NYER0026,42.71420,-78.97150,190.20000,DERBY 2.4 NNE,029,00974113,36029,Erie
167,US1NYER0029,42.58700,-78.84180,391.70000,NORTH COLLINS 4.9 E,029,00974113,36029,Erie
168,US1NYER0035,42.85260,-78.70340,203.90000,WEST SENECA 2.6 ENE,029,00974113,36029,Erie
169,US1NYER0039,42.72250,-78.84330,241.40000,HAMBURG 0.4 WSW,029,00974113,36029,Erie
170,US1NYER0040,43.01530,-78.67050,185.60000,EAST AMHERST 1.4 ESE,029,00974113,36029,Erie
171,US1NYER0044,42.80560,-78.60810,281.60000,ELMA CENTER 1.9 SE,029,00974113,36029,Erie
172,US1NYER0045,42.74430,-78.48840,283.80000,EAST AURORA 6.7 ESE,029,00974113,36029,Erie
173,US1NYER0046,42.98600,-78.67700,199.30000,WILLIAMSVILLE 3.6 ENE,029,00974113,36029,Erie
174,US1NYER0050,42.76750,-78.61580,280.10000,EAST AURORA 0.1 ENE,029,00974113,36029,Erie
175,US1NYER0051,43.02100,-78.62890,191.10000,CLARENCE CENTER 0.9 N,029,00974113,36029,Erie
176,US1NYER0053,42.83600,-78.78970,185.90000,WEST SENECA 1.9 W,029,00974113,36029,Erie
177,US1NYER0054,43.02250,-78.71900,178.00000,EAST AMHERST 1.2 WNW,029,00974113,36029,Erie
178,US1NYER0056,42.64740,-78.71120,465.70000,COLDEN 1.4 NNW,029,00974113,36029,Erie
179,US1NYER0057,42.97350,-78.88170,185.00000,KENMORE 0.8 NW,029,00974113,36029,Erie
180,US1NYER0058,42.84210,-78.80410,185.90000,BUFFALO 4.3 SE,029,00974113,36029,Erie
181,US1NYER0059,42.96320,-78.86690,186.50000,KENMORE 0.3 ESE,029,00974113,36029,Erie
182,US1NYER0060,42.77660,-78.84440,192.00000,BLASDELL 1.5 SSW,029,00974113,36029,Erie
183,US1NYER0063,42.60200,-78.63910,430.10000,GLENWOOD 1.5 SE,029,00974113,36029,Erie
184,US1NYER0065,42.65470,-78.72010,475.80000,BOSTON 1.5 NE,029,00974113,36029,Erie
185,US1NYER0066,42.76450,-78.59800,310.00000,EAST AURORA 1.0 ESE,029,00974113,36029,Erie
186,US1NYER0067,42.83800,-78.73390,202.10000,WEST SENECA 0.9 E,029,00974113,36029,Erie
187,US1NYER0068,42.93140,-78.67850,222.50000,LANCASTER 2.1 NNW,029,00974113,36029,Erie
188,US1NYER0072,43.01370,-78.82960,173.70000,TONAWANDA 3.1 NE,029,00974113,36029,Erie
189,US1NYER0075,42.81940,-78.62140,265.80000,ELMA CENTER 0.7 SE,029,00974113,36029,Erie
190,US1NYER0077,42.65090,-78.61060,502.90000,COLDEN 2.4 ENE,029,00974113,36029,Erie
191,US1NYER0078,42.71490,-78.83390,248.70000,HAMBURG 0.6 S,029,00974113,36029,Erie
192,US1NYER0079,42.91080,-78.70490,206.70000,DEPEW 0.1 S,029,00974113,36029,Erie
193,US1NYER0080,42.92650,-78.59520,233.20000,LANCASTER 4.1 ENE,029,00974113,36029,Erie
194,US1NYER0081,42.97050,-78.82840,182.30000,TONAWANDA 2.6 ESE,029,00974113,36029,Erie
195,US1NYER0083,42.96980,-78.76630,96.90000,WILLIAMSVILLE 1 NW,029,00974113,36029,Erie
196,US1NYER0085,42.98520,-78.48630,251.20000,AKRON 2.4 S,029,00974113,36029,Erie
197,US1NYER0086,43.00510,-78.86600,176.50000,TONAWANDA 1.5 NNE,029,00974113,36029,Erie
198,US1NYER0093,42.88900,-78.89010,178.00000,BUFFALO 1.5 W,029,00974113,36029,Erie
199,US1NYER0094,42.77000,-78.74430,257.30000,ORCHARD PARK 0.5 N,029,00974113,36029,Erie
200,US1NYER0095,42.95080,-78.87190,183.50000,BUFFALO 4.3 N,029,00974113,36029,Erie
201,US1NYER0096,42.81000,-78.68130,254.50000,ELMA 2.7 WSW,029,00974113,36029,Erie
202,US1NYER0098,43.05210,-78.76430,176.80000,AMHERST 5.4 NNE,029,00974113,36029,Erie
203,US1NYER0100,42.71380,-78.95890,199.00000,LAKE VIEW 1.2 W,029,00974113,36029,Erie
204,US1NYER0102,42.94120,-78.71930,214.30000,CHEEKTOWAGA 2.7 NE,029,00974113,36029,Erie
205,US1NYER0103,42.83470,-78.82270,207.00000,BUFFALO 4.2 SSE,029,00974113,36029,Erie
206,US1NYER0104,42.99420,-78.75260,179.50000,WILLIAMSVILLE 2.2 NNW,029,00974113,36029,Erie
207,US1NYER0107,42.98550,-78.72690,186.20000,AMHERST 3.3 ENE,029,00974113,36029,Erie
208,US1NYER0109,42.98640,-78.87060,188.70000,BUFFALO 6.7 N,029,00974113,36029,Erie
209,US1NYER0110,42.98580,-78.89050,183.80000,TONAWANDA 0.8 W,029,00974113,36029,Erie
210,US1NYER0113,42.83700,-78.74330,198.40000,WEST SENECA 0.4 E,029,00974113,36029,Erie
211,US1NYER0116,42.87180,-78.55460,249.90000,ALDEN 3.6 WSW,029,00974113,36029,Erie
212,US1NYER0120,42.70430,-78.96210,198.40000,DERBY 1.7 NNE,029,00974113,36029,Erie
213,US1NYER0122,42.93460,-78.78300,204.50000,CHEEKTOWAGA 2.4 NW,029,00974113,36029,Erie
214,US1NYER0123,43.04550,-78.72150,177.10000,CLARENCE CENTER 5.2 WNW,029,00974113,36029,Erie
215,US1NYER0124,42.92350,-78.76790,199.00000,CHEEKTOWAGA 1.3 NW,029,00974113,36029,Erie
216,US1NYER0125,42.72280,-78.82880,249.30000,HAMBURG 0.3 ESE,029,00974113,36029,Erie
217,US1NYER0132,42.87440,-78.66030,213.40000,LANCASTER 1.9 SSE,029,00974113,36029,Erie
218,US1NYER0135,42.85400,-78.77160,187.50000,WEST SENECA 1.5 NW,029,00974113,36029,Erie
219,US1NYER0138,42.81400,-78.59670,269.40000,EAST AURORA 3.4 NNE,029,00974113,36029,Erie
220,US1NYER0145,42.82560,-78.60110,267.90000,ELMA CENTER 1.6 E,029,00974113,36029,Erie
221,US1NYER0147,42.99740,-78.74030,180.70000,WILLIAMSVILLE 2.4 N,029,00974113,36029,Erie
222,US1NYER0150,42.63480,-78.88620,318.80000,EDEN 1.4 SSE,029,00974113,36029,Erie
223,US1NYER0151,43.00740,-78.62920,197.50000,CLARENCE CENTER 0.2 ESE,029,00974113,36029,Erie
224,US1NYER0158,42.72940,-78.60560,330.70000,EAST AURORA 2.7 SSE,029,00974113,36029,Erie
225,US1NYES0001,44.30490,-73.98640,578.80000,LAKE PLACID 1.5 N,031,00974114,36031,Essex
226,US1NYES0004,44.24350,-73.81000,355.70000,KEENE 1.3 SW,031,00974114,36031,Essex
227,US1NYES0005,43.80860,-73.81890,416.70000,SCHROON LAKE 3.5 SW,031,00974114,36031,Essex
228,US1NYES0006,43.83350,-73.89780,459.30000,OLMSTEDVILLE 4.6 NNE,031,00974114,36031,Essex
229,US1NYES0007,44.49500,-73.47110,160.90000,KEESEVILLE 0.8 SE,031,00974114,36031,Essex
230,US1NYES0008,44.42560,-73.93140,524.30000,BLOOMINGDALE 7.8 E,031,00974114,36031,Essex
231,US1NYES0009,44.21540,-73.75100,599.20000,KEENE VALLEY 2.5 NE,031,00974114,36031,Essex
232,US1NYFK0002,44.49520,-74.11840,517.60000,ONCHIOTA 0.3 ENE,033,00974115,36033,Franklin
233,US1NYFK0007,44.41360,-74.15210,521.20000,SARANAC LAKE 6.2 N,033,00974115,36033,Franklin
234,US1NYFK0009,44.41930,-74.16190,514.50000,GABRIELS 1.3 SE,033,00974115,36033,Franklin
235,US1NYFL0007,43.03940,-74.10850,285.30000,BROADALBIN 4.7 ESE,035,00974116,36035,Fulton
236,US1NYFL0008,43.05000,-74.32880,270.70000,GLOVERSVILLE 0.9 E,035,00974116,36035,Fulton
237,US1NYGN0001,43.10970,-78.38370,191.10000,OAKFIELD 6.5 WNW,037,00974117,36037,Genesee
238,US1NYGN0006,42.99890,-78.04830,274.00000,STAFFORD 1.8 NE,037,00974117,36037,Genesee
239,US1NYGN0009,42.93380,-78.19350,280.40000,BATAVIA 4.5 S,037,00974117,36037,Genesee
240,US1NYGN0011,42.99850,-78.20570,275.50000,BATAVIA 1.2 W,037,00974117,36037,Genesee
241,US1NYGN0013,42.98870,-78.24730,271.90000,BATAVIA 3.4 WSW,037,00974117,36037,Genesee
242,US1NYGN0015,42.93020,-78.35700,299.00000,CORFU 3.0 SE,037,00974117,36037,Genesee
243,US1NYGR0005,42.44290,-73.78660,12.20000,NEW BALTIMORE 0.2 SE,039,00974118,36039,Greene
244,US1NYGR0006,42.36050,-73.98350,229.80000,FREEHOLD 3.4 E,039,00974118,36039,Greene
245,US1NYGR0007,42.41400,-74.00900,248.70000,GREENVILLE 0.7 E,039,00974118,36039,Greene
246,US1NYGR0009,42.29590,-73.83270,61.90000,ATHENS 2.2 NNW,039,00974118,36039,Greene
247,US1NYGR0013,42.13880,-74.08700,641.90000,TANNERSVILLE 4.5 SSE,039,00974118,36039,Greene
248,US1NYHM0001,43.45130,-74.47120,524.90000,SPECULATOR 10.0 SSW,041,00974119,36041,Hamilton
249,US1NYHM0002,43.74910,-74.74930,545.30000,INLET 2.2 ESE,041,00974119,36041,Hamilton
